"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0xaaa8 A sd-007"
"2","0.000085","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0xaaa8 A sd-007"
"3","0.000387","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0x5b0f AAAA sd-007"
"4","0.000473","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0x5b0f AAAA sd-007"
"5","0.733655","10.0.0.12","10.255.255.255","NBNS","92","Name query NB HELLO<00>"
"6","0.733964","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0x8829 A hello"
"7","0.734055","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0x8829 A hello"
"8","0.734331","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0xee1c AAAA hello"
"9","0.734408","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0xee1c AAAA hello"
"10","1.019475","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0x572d A sd-007"
"11","1.019565","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0x572d A sd-007"
"12","1.019949","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0x85a9 AAAA sd-007"
"13","1.020225","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0x85a9 AAAA sd-007"
"14","1.148421","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0x8829 A hello"
"15","1.148485","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0x8829 A hello"
"16","1.148681","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0xee1c AAAA hello"
"17","1.148736","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0xee1c AAAA hello"
"18","1.486710","10.0.0.12","10.255.255.255","NBNS","92","Name query NB HELLO<00>"
"19","2.035178","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0xac49 A sd-007"
"20","2.035262","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0xac49 A sd-007"
"21","2.035675","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0x9996 AAAA sd-007"
"22","2.035752","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0x9996 AAAA sd-007"
"23","2.252398","10.0.0.12","10.255.255.255","NBNS","92","Name query NB HELLO<00>"
"24","3.021832","10.0.0.12","10.255.255.255","NBNS","92","Name query NB HELLO<00>"
"25","3.022128","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0x212d A hello"
"26","3.022206","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0x212d A hello"
"27","3.022583","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0x5a40 AAAA hello"
"28","3.022792","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0x5a40 AAAA hello"
